-	-	.DS_Store
1	1	.copier/.copier-answers.yml
1	1	.env
0	1	.github/FUNDING.yml
62	0	.github/copilot-instructions.md
15	0	.github/instructions/api-contract.instructions.md
16	0	.github/instructions/backend.instructions.md
12	0	.github/instructions/db-migrations.instructions.md
11	0	.github/instructions/etag-config.instructions.md
14	0	.github/instructions/general-coding.instructions.md
303	0	.github/instructions/sqlmodel.instructions.md
11	0	.github/instructions/telemetry.instructions.md
13	0	.github/instructions/tests.instructions.md
19	0	.github/prompts/generate-migration.prompt.md
48	0	.github/prompts/implement-endpoint.prompt.md
23	0	.github/prompts/implement-route.prompt.md
20	0	.github/prompts/refactor-model.prompt.md
75	0	COMPLETION_SUMMARY.md
90	0	END_TO_END_TEST_RESULTS.md
131	0	OPENAPI_UPDATE_SUMMARY.md
0	181	README.md
0	29	SECURITY.md
3392	0	VERDIFY_BUNDLE_01_MODELS_CORE.txt
6356	0	VERDIFY_BUNDLE_02_API_ROUTES.txt
2495	0	VERDIFY_BUNDLE_03_CRUD_LOGIC.txt
4678	0	VERDIFY_BUNDLE_04_TESTS.txt
625	0	VERDIFY_BUNDLE_05_CONFIG_INFRA.txt
78	0	VERDIFY_BUNDLE_COLLECTION_README.md
221	0	VERDIFY_CRUD_FIXES_CHECKLIST.md
404	0	VERDIFY_DEVELOPMENT_SUMMARY.md
200	0	VERDIFY_IMPLEMENTATION_PROGRESS.md
116	0	VERDIFY_MILESTONE_PROGRESS_REPORT.md
71	0	VERDIFY_SCHEMA_PARITY_BUNDLE_README.md
1780	0	VERDIFY_SCHEMA_PARITY_IMPLEMENTATION.txt
163	0	VERDIFY_SCHEMA_PARITY_PLAN.md
139	0	ai-analysis-archive/ACTUAL_CRUD_COVERAGE_ANALYSIS.md
170	0	ai-analysis-archive/API_COMPLIANCE_PLAN.md
133	0	ai-analysis-archive/COMPLIANCE_SUCCESS_REPORT.md
177	0	ai-analysis-archive/COMPREHENSIVE_API_TESTING_REPORT.md
153	0	ai-analysis-archive/COMPREHENSIVE_API_TEST_RESULTS.md
131	0	ai-analysis-archive/FINAL_API_TEST_ACHIEVEMENT.md
71	0	ai-analysis-archive/FOREIGN_KEY_FIX_SUMMARY.md
83	0	ai-analysis-archive/RELATIONSHIP_REVERSION_SUMMARY.md
175	0	ai-analysis-archive/TRUTH_ABOUT_CRUD_COVERAGE.md
9	0	backend/.env
93	0	backend/END_TO_END_TEST_RESULTS.md
181	0	backend/EXPERT_REVIEW_FIXES_COMPLETE.md
251	0	backend/EXPERT_REVIEW_NEXT_STEPS.md
0	172	backend/README.md
312	0	backend/app/alembic/versions/0108966434fc_openapi_v2_models.py
36	0	backend/app/alembic/versions/15c9254bb092_add_created_at_to_controller.py
50	0	backend/app/alembic/versions/1a2b3c4d5e6f_complete_enum_to_text_conversion.py
29	0	backend/app/alembic/versions/1ed0a4df0641_fix_observation_type_enum_mapping.py
141	0	backend/app/alembic/versions/28bf57b69a7f_fix_enum_case_for_greenhouse_rbac.py
1	1	backend/app/alembic/versions/2b2789b3524c_inital.py
33	0	backend/app/alembic/versions/31edd1b109cb_make_greenhouse_id_nullable_for_.py
52	0	backend/app/alembic/versions/32b1d6cb17d3_add_controller_device_authentication_.py
61	0	backend/app/alembic/versions/42200736b281_add_rbac_tables_for_greenhouse_sharing.py
67	0	backend/app/alembic/versions/4c693f2ba5e0_fix_button_kind_enum_values.py
75	0	backend/app/alembic/versions/52e718e4b837_redesign_state_machine_models_to_match_.py
25	0	backend/app/alembic/versions/592471aa0e5c_fix_enum_case_for_greenhouse_rbac.py
45	0	backend/app/alembic/versions/5c2ea57d6295_m1_m2_add_user_email_uniqueness_.py
88	0	backend/app/alembic/versions/643b9882529b_add_created_at_timestamps_and_.py
55	0	backend/app/alembic/versions/6902ec647fea_update_zone_crop_schema_and_add_.py
29	0	backend/app/alembic/versions/768902e59314_add_zone_crop_observation_table.py
45	0	backend/app/alembic/versions/7a3e1e81a23e_add_server_default_created_at_to_.py
114	0	backend/app/alembic/versions/842454810a57_t15_create_sensorkind_enum_type.py
77	0	backend/app/alembic/versions/8c55168af50f_add_missing_uniqueness_constraints.py
35	0	backend/app/alembic/versions/98d921bb1a84_add_last_seen_to_controller_and_make_.py
132	0	backend/app/alembic/versions/9f3a8e1d2c4b_schema_parity_fixes.py
53	0	backend/app/alembic/versions/a500c302750c_fix_zone_crop_table_names_and_field_.py
33	0	backend/app/alembic/versions/afccaf995645_l4_add_title_field_to_zone_for_sort_.py
56	0	backend/app/alembic/versions/c03cb77a6e44_add_observation_type_and_created_at_.py
46	0	backend/app/alembic/versions/c4854dd9ff9e_add_onboarding_fields_to_controller.py
30	0	backend/app/alembic/versions/c491311ca35b_add_unique_constraint_sensor_zone_kind.py
29	0	backend/app/alembic/versions/c803f765db15_fix_idempotency_key_foreign_key.py
81	0	backend/app/alembic/versions/cc0eb28d66f3_b4_make_zonecrop_crop_id_not_null_per_.py
73	0	backend/app/alembic/versions/d8f135cc0754_add_zone_crops_and_observations.py
29	0	backend/app/alembic/versions/dad914d4da09_add_idempotency_key_unique_constraint.py
217	0	backend/app/alembic/versions/df42b94e7925_add_updated_at_timestamps_to_all_models.py
73	0	backend/app/alembic/versions/f3c53e05f9d7_t17_state_machine_json_columns_and_.py
120	0	backend/app/alembic/versions/fc3c9eafddaa_fix_button_kind_enum_to_use_constant_.py
133	5	backend/app/api/deps.py
74	14	backend/app/api/main.py
136	0	backend/app/api/permissions.py
151	0	backend/app/api/routes/actuators.py
202	0	backend/app/api/routes/auth_extras.py
153	0	backend/app/api/routes/buttons.py
1	1	backend/app/api/routes/climate.py
288	0	backend/app/api/routes/config_admin.py
204	0	backend/app/api/routes/config_device.py
59	31	backend/app/api/routes/controller.py
