Time,iGlob,tOut,vpOut,co2Out,wind,tSky,tSoOut,dayRadSum,isDay,isDaySmooth,hElevation
Time since start of data,Outdoor global solar radiation,Outdoor temperature,Outdoor vapor pressure,Outdoor CO2 concentration,Outdoor wind speed,Apparent sky temperature,Soil temperature at 2 m depth,Daily sum of outdoor global solar radiation,Switch determining if it is day or night. Used for control purposes,Smooth switch determining if it is day or night. Used for control purposes,Elevation at location
s,W m**-2,°C,Pa,mg m**-3,m s**-1,°C,°C,MJ m**-2,-,-,m above sea level
0,0.0,-13.0,171.37275528515124,865.9312661303496,1.5,-27.338290890450622,2.495334425219693,10.206,0.0,0.0,1612.0
3600,0.0,-14.0,172.52003222433984,869.2726949018348,1.5,-29.4432943993568,2.4928434512277517,10.206,0.0,0.0,1612.0
7200,0.0,-14.0,172.52003222433984,869.2726949018348,2.1,-26.452468576296866,2.490356135704035,10.206,0.0,0.0,1612.0
10800,0.0,-15.0,158.9117525971543,872.6400111710652,2.1,-25.286017468759184,2.487872479928452,10.206,0.0,0.0,1612.0
14400,0.0,-15.0,158.9117525971543,872.6400111710652,1.5,-23.283491364033864,2.4853924851790383,10.206,0.0,0.0,1612.0
18000,0.0,-15.0,158.9117525971543,872.6400111710652,1.5,-23.850728867132347,2.482916152731943,10.206,0.0,0.0,1612.0
21600,0.0,-15.0,158.9117525971543,872.6400111710652,0.0,-22.160467526975197,2.4804434838614355,10.206,0.0,0.0,1612.0
25200,0.0,-16.0,160.36691138232243,876.0335169504586,1.5,-27.04195315036381,2.4779744798398875,10.206,0.0,0.0,1612.0
28800,68.0,-15.0,158.9117525971543,872.6400111710652,0.0,-30.980952892303662,2.4755091419377955,10.206,1.0,1.0,1612.0
32400,205.0,-15.0,158.9117525971543,872.6400111710652,1.5,-32.23251440808957,2.4730474714237705,10.206,1.0,1.0,1612.0
36000,351.0,-15.0,158.9117525971543,872.6400111710652,1.5,-36.44088557990872,2.4705894695645263,10.206,1.0,1.0,1612.0
39600,456.0,-12.0,154.0007798282177,862.6154274700765,1.5,-36.10912707222687,2.4681351376248966,10.206,1.0,1.0,1612.0
43200,502.0,-11.0,153.5875836854303,859.3248860721362,0.0,-39.49146133822282,2.46568447686783,10.206,1.0,1.0,1612.0
46800,479.0,-11.0,153.5875836854303,859.3248860721362,0.0,-40.18584803055455,2.4632374885543733,10.206,1.0,1.0,1612.0
50400,394.0,-10.0,151.93063081263855,856.0593535390859,0.0,-40.18584803055455,2.460794173943695,10.206,1.0,1.0,1612.0
54000,259.0,-10.0,151.93063081263855,856.0593535390859,0.0,-39.14657694779913,2.45835453429307,10.206,1.0,1.0,1612.0
57600,106.0,-11.0,153.5875836854303,859.3248860721362,0.0,-39.49146133822282,2.455918570857884,10.206,1.0,1.0,1612.0
61200,15.0,-12.0,168.66752076423842,862.6154274700765,0.0,-40.18584803055455,2.453486284891622,10.206,1.0,1.0,1612.0
